name,adset_name,campaign_name,event_date,sum,revenue
,,DPA_App_ASC_NonMetro_Pur Campaign,2024-01-30 00:00:00,61122.15,259751.5621150580
,,NDPA_NS_Buyers_Lapsed_M_18-65_OBJ-VC_Duplicate,2024-01-30 00:00:00,10088.61,19897.26754871300
,,DPA_gt-All_t-AppCABuyersList_ds-Lockdown_Duplicate_BidCap,2024-01-29 00:00:00,209782.99,881273.3339213220
,,DPA_gt-F_t-AppVisitors_ds-Lockdown,2024-01-28 00:00:00,10250.13,20717.00418438530
,,DPA_gt-All_t-AppUpsellKids_ds-Lockdown,2024-01-28 00:00:00,103245.75,81307.5577817309
,,NDPA_NS_Buyer_Lookalike_F_0-5_OBJ-Pur_Duplicate,2024-02-03 00:00:00,19551.37,96687.87462656090
,,NDPA_NS_LAEthnicBuyer_Pur,2024-01-28 00:00:00,122123.14,421528.0181638530
,,DPA_gt-M_t-AppA2C_ds-Lockdown_D_CBO,2024-01-29 00:00:00,52239.56,130738.81781968300
,,NDPA_NS_Buyer_Lookalike_M_0-5_OBJ-Pur_Duplicate,2024-01-28 00:00:00,20401.98,45312.778528433700
,,DPA_App_AFBigSaleBuyers_Partywear_Pur,2024-01-29 00:00:00,53814.27,100531.82468112900
,,DPA_gt-All_t-AppCrosssell_ds-Lockdown,2024-02-02 00:00:00,619359.86,3121440.141747370
,,DPA_gt-F_t-AppVisitors_ds-Lockdown,2024-02-02 00:00:00,9951.5,9461.347644973450
,,DPA_AppUpSell_Promoted_Pur,2024-01-27 00:00:00,290512.18,528823.2635783260
,,DPA_AppUpSell_Discounted_Pur,2024-02-03 00:00:00,77847.79,205880.39755778800
,,DPA_gt-M_t-AppA2C_ds-Lockdown_D_CBO,2024-01-27 00:00:00,78032.42,203543.03551680200
,,DPA_gt-All_t-AppUpsellKids_ds-Lockdown,2024-01-29 00:00:00,73082.34,188289.95056306200
,,DPA_gt-All_t-AppCrosssell_ds-Lockdown,2024-01-29 00:00:00,431460.04,495716.0981265480
,,NDPA_NS_Buyers_Lapsed_M_18-65_OBJ-VC_Duplicate_iOS_LC,2024-01-27 00:00:00,96785.59,96779.24015920710
,,DPA_App_AFBigSaleBuyers_Partywear_Pur,2024-02-01 00:00:00,100397.49,153645.28075141300
,,NDPA_NS_LAiOSPurchsedGT5000_180D_LC,2024-02-03 00:00:00,18487.84,87199.65797872140
,,DPA_gt-M_t-AppA2C_ds-Lockdown_D_CBO,2024-01-30 00:00:00,50454.35,42683.16187233250
,,DPA_AppUpsellNew_Pur,2024-02-03 00:00:00,176872.28,700041.8070851170
,,NDPA_NS_LAEthnicBuyer_Pur,2024-02-02 00:00:00,121229.49,479885.7016098000
,,NDPA_NS_Buyers_Lapsed_M_18-65_OBJ-VC_Duplicate_iOS_LC,2024-01-28 00:00:00,100993.31,425251.5005825390
,,DPA_AppBBSBuyers_BlackFriday_Pur_Andr,2024-01-30 00:00:00,121848.13,558284.2490403720
,,DPA_AppUpSellFootwear_Pur,2024-01-28 00:00:00,15334.63,24079.998902647300
,,DPA_APPAFInstalled_notactive_And30D,2024-02-03 00:00:00,77223.93,106915.23636845900
,,DPA_gt-All_t-AppUpsell_ds-Lockdown,2024-02-01 00:00:00,283930.75,723485.1426375950
,,DPA_AppUpSell_Promoted_Pur,2024-02-03 00:00:00,291809.26,461121.83519074100
,,DPA_gt-All_t-EB0AppVisitor_ds-Lockdown,2024-01-27 00:00:00,96706.15,371957.2584667950
,,DPA_APPAFInstalled_notactive_And30D,2024-01-28 00:00:00,81844.2,275912.71763866400
,,NDPA_NS_LA_NikePumaAdidasBuyerL90D_Pur,2024-01-29 00:00:00,32875.4,148782.51837028500
,,NDPA_NS_LAInstallednotPurchsed_15D_Pur,2024-01-29 00:00:00,83897.26,58692.408115936400
,,NDPA_NS_ASC_80%Exis_Obj_Pur Campaign,2024-01-27 00:00:00,173539.48,818982.4494373110
,,NDPA_gt-ALL_t-LA0to10LIFETIMEBUYERS_ds-Lockdown_Duplicate,2024-01-27 00:00:00,9726.49,16697.39033356490
,,DPA_gt-All_t-EB0AppA2C_ds-Lockdown,2024-02-01 00:00:00,81338.24,217152.762256639
